condition,seed,run_source,formal_dp,target_epsilon,actual_epsilon,delta,split,threshold_policy,threshold,accuracy,precision,recall,f1,fnr,fpr,roc_auc,pr_auc,tn,fp,fn,tp
non_private,72,trained_experiment_06,False,,,,KDDTest+,default_0_5,0.5,0.781360894251242,0.9211423699914748,0.6735759370373257,0.7781428635729396,0.32642406296267434,0.07620224487694367,0.902493188501869,0.9257613601934485,8971,740,4189,8644
non_private,72,trained_experiment_06,False,,,,KDDTest+,validation_selected_F2,0.23,0.7971078779276083,0.9200488251449497,0.7048235019091404,0.7981821390751853,0.2951764980908595,0.08093914118010503,0.902493188501869,0.9257613601934485,8925,786,3788,9045
dp_eps_4,72,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,target_validation,default_0_5,0.5,0.9816623005477495,0.9911056853854203,0.9692989936892376,0.9800810554453738,0.03070100631076241,0.007573507573507573,0.9966465003988456,0.997074212805245,6683,51,180,5683
dp_eps_4,72,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,KDDTest+,default_0_5,0.5,0.7294623846699787,0.9133316965381783,0.5797553183199564,0.7092807092807093,0.42024468168004364,0.07270106065286788,0.8089618823715501,0.8812880448822493,9005,706,5393,7440
dp_eps_4,72,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.02,0.796930447125621,0.9118028534370947,0.7121483674900647,0.7997024851242562,0.28785163250993534,0.09103078982597054,0.8089618823715501,0.8812880448822493,8827,884,3694,9139
dp_eps_2,72,trained_experiment_06,True,2.0,1.9990375327333947,1.134031140495118e-05,target_validation,default_0_5,0.5,0.9792013971580535,0.9912296088405543,0.9638410370117687,0.9773434797647873,0.036158962988231284,0.007425007425007425,0.9961676678374616,0.9966624509043357,6684,50,212,5651
dp_eps_2,72,trained_experiment_06,True,2.0,1.9990375327333947,1.134031140495118e-05,KDDTest+,default_0_5,0.5,0.7286195883605394,0.9136380436121719,0.577885139873763,0.7079713603818616,0.42211486012623706,0.07218618061991557,0.8091611461199841,0.8797995670285138,9010,701,5417,7416
dp_eps_2,72,trained_experiment_06,True,2.0,1.9990375327333947,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.03,0.7916075230660042,0.9169656586365966,0.697031091716668,0.7920134584735258,0.30296890828333206,0.08341056533827618,0.8091611461199841,0.8797995670285138,8901,810,3888,8945
non_private,82,trained_experiment_06,False,,,,target_validation,default_0_5,0.5,0.9939668174962293,0.9965677020765402,0.9904485758144295,0.9934987168520103,0.009551424185570527,0.00297000297000297,0.9998386330468881,0.9998236776240194,6714,20,56,5807
non_private,82,trained_experiment_06,False,,,,KDDTest+,default_0_5,0.5,0.7838005677785663,0.9664752080647052,0.6424842203693603,0.7718592023965549,0.35751577963063974,0.029451137884872823,0.9130970330480441,0.9370215482963911,9425,286,4588,8245
