reference_condition,comparison_condition,seed,domain,threat_model,metric,reference_value,comparison_value,difference_dp_minus_non_private
non_private,dp_eps_2,72,IDS,,precision,0.9200488251449497,0.9169656586365966,-0.0030831665083530524
non_private,dp_eps_2,72,IDS,,pr_auc,0.9257613601934485,0.8797995670285138,-0.04596179316493465
non_private,dp_eps_2,72,IDS,,threshold,0.23,0.03,-0.2
non_private,dp_eps_2,72,MIA,score_only_black_box,mia_auc,0.5027829388078069,0.5033345556966469,0.0005516168888399786
non_private,dp_eps_2,72,MIA,score_only_black_box,mia_advantage,0.00770024609033898,0.010399301420973284,0.0026990553306343035
non_private,dp_eps_2,72,MIA,score_only_black_box,mia_balanced_accuracy,0.4993252361673415,0.5007541478129713,0.00142891164562986
non_private,dp_eps_2,72,MIA,score_only_black_box,tpr_at_1pct_fpr,0.0,0.0,0.0
non_private,dp_eps_2,72,MIA,score_only_black_box,tpr_at_5pct_fpr,0.0,0.0,0.0
non_private,dp_eps_2,72,MIA,label_aware_audit,mia_auc,0.5013666402475621,0.5015296965942003,0.0001630563466382684
non_private,dp_eps_2,72,MIA,label_aware_audit,mia_advantage,0.004921806779391913,0.010399301420973284,0.005477494641581371
non_private,dp_eps_2,72,MIA,label_aware_audit,mia_balanced_accuracy,0.49996030800984365,0.49948400412796695,-0.00047630388187669404
non_private,dp_eps_2,72,MIA,label_aware_audit,tpr_at_1pct_fpr,0.0,0.0,0.0
non_private,dp_eps_2,72,MIA,label_aware_audit,tpr_at_5pct_fpr,0.0,0.0,0.0
non_private,dp_eps_2,82,IDS,,recall,0.6784072313566586,0.6989012701628614,0.02049403880620282
non_private,dp_eps_2,82,IDS,,fnr,0.3215927686433414,0.30109872983713865,-0.020494038806202763
non_private,dp_eps_2,82,IDS,,f1,0.7954317039744175,0.7934359518754424,-0.0019957520989751787
non_private,dp_eps_2,82,IDS,,fpr,0.03614457831325301,0.08299866131191433,0.04685408299866132
non_private,dp_eps_2,82,IDS,,precision,0.9612454455117588,0.9175447570332481,-0.04370068847851072
non_private,dp_eps_2,82,IDS,,pr_auc,0.9370215482963911,0.8909929896265916,-0.04602855866979949
non_private,dp_eps_2,82,IDS,,threshold,0.13,0.03,-0.1
non_private,dp_eps_2,82,MIA,score_only_black_box,mia_auc,0.5016010741168655,0.5032413108713157,0.0016402367544502416
non_private,dp_eps_2,82,MIA,score_only_black_box,mia_advantage,0.009684845598158298,0.012225132968167018,0.0025402873700087203
non_private,dp_eps_2,82,MIA,score_only_black_box,mia_balanced_accuracy,0.49980154004921806,0.5019052155275066,0.0021036754782884914
non_private,dp_eps_2,82,MIA,score_only_black_box,tpr_at_1pct_fpr,0.0,0.0,0.0
non_private,dp_eps_2,82,MIA,score_only_black_box,tpr_at_5pct_fpr,0.0,0.0,0.0
non_private,dp_eps_2,82,MIA,label_aware_audit,mia_auc,0.499024655282927,0.5021418550325256,0.0031171997495986203
non_private,dp_eps_2,82,MIA,label_aware_audit,mia_advantage,0.00889100579503066,0.012066365007541435,0.0031753592125107755
non_private,dp_eps_2,82,MIA,label_aware_audit,mia_balanced_accuracy,0.5038501230451695,0.5002778439310946,-0.003572279114074872
non_private,dp_eps_2,82,MIA,label_aware_audit,tpr_at_1pct_fpr,0.0,0.0,0.0
non_private,dp_eps_2,82,MIA,label_aware_audit,tpr_at_5pct_fpr,0.0,0.0,0.0
